318.0000	78.0000
207.0000	144.0000
321.0000	243.0000
585.0000	282.0000
867.0000	306.0000
864.0000	336.0000
513.0000	639.0000
159.0000	954.0000
180.0000	1002.0000
351.0000	1152.0000
360.0000	1302.0000
333.0000	1326.0000
207.0000	1503.0000
642.0000	1164.0000
561.0000	1824.0000
585.0000	1845.0000
1038.0000	1641.0000
1395.0000	1743.0000
1143.0000	1467.0000
1185.0000	1425.0000
1137.0000	1176.0000
1140.0000	1068.0000
1080.0000	777.0000
1665.0000	60.0000
1710.0000	174.0000
1620.0000	252.0000
1548.0000	228.0000
2118.0000	159.0000
1806.0000	483.0000
1968.0000	531.0000
2142.0000	831.0000
1902.0000	804.0000
2217.0000	1167.0000
2160.0000	1293.0000
2151.0000	1320.0000
2022.0000	1689.0000
2037.0000	1713.0000
2103.0000	1677.0000
2103.0000	1767.0000
1878.0000	1134.0000
1836.0000	1056.0000
1665.0000	1053.0000
1536.0000	1173.0000
1311.0000	1281.0000
1515.0000	1386.0000
1716.0000	1257.0000
1746.0000	1140.0000
1719.0000	1167.0000
