File name,Spore/Conidia number,Area,Length,Width,Circularity
A thaumasia-10.JPG,1,10198.375,146.82555686856128,90.33028587727901,0.7954748793958598
A thaumasia-1.JPG,1,6895.625,113.83046393051296,78.4805689197636,0.8070496843033691
A thaumasia-2.JPG,1,10865.875,158.16963560952254,89.44005224187043,0.8020877498813
A thaumasia-3.JPG,1,9611.,151.1914209716198,81.94479901881706,0.7812535357802113
A thaumasia-4.JPG,1,12414.,153.5858678802389,104.64697614991297,0.816109606589903
A thaumasia-5.JPG,1,12370.875,165.4410545944658,95.6578466456187,0.8336379359218042
A thaumasia-6.JPG,1,10118.875,137.77114370047457,94.24897907900193,0.8677722250783546
A thaumasia-7.JPG,1,8232.75,136.6017936191178,79.05655409583501,0.752396400027382
A thaumasia-7.JPG,2,7611.75,125.06004869731925,78.98257461705607,0.8440866654355955
A thaumasia-8.JPG,1,11900.375,149.71238377253198,103.15844238159126,0.7789457377555873
A thaumasia-9.JPG,1,13181.375,148.77528708069272,114.60363092848613,0.7959753405105674
